indicator,weight,total_trades,wins,losses,timeouts,win_rate,sharpe_ratio,total_pnl,avg_win,avg_loss,beats_baseline
RS,0.5,96,53,43,0,0.5520833333333334,1.242583609994899,38.56,3.0367924528301886,-2.8462790697674416,True
RS,1.0,96,54,42,0,0.5625,2.452821810474433,48.300000000000004,2.494444444444445,-2.057142857142857,True
RS,1.5,152,75,77,0,0.4934210526315789,0.16523132999118137,4.130000000000002,1.986666666666667,-1.881428571428572,False
RS,2.0,112,65,47,0,0.5803571428571429,1.3291488551568573,30.829999999999995,2.079846153846154,-2.220425531914893,True
GAP,0.5,152,77,75,0,0.506578947368421,0.6330883523715852,17.28,2.2120779220779228,-2.0406666666666666,True
GAP,1.0,179,84,95,0,0.4692737430167598,-1.5000924175620833,-57.230000000000004,2.3672619047619046,-2.695578947368421,False
GAP,1.5,151,95,56,0,0.6291390728476821,4.008667586051318,103.22,2.1115789473684208,-1.7389285714285714,True
GAP,2.0,150,64,86,0,0.4266666666666667,-3.3148833688949524,-104.97000000000001,2.3165625,-2.9445348837209293,False
VWAP,0.5,153,84,69,0,0.5490196078431373,-0.6984186999490399,-18.139999999999993,1.4879761904761906,-2.074347826086957,False
VWAP,1.0,198,106,92,0,0.5353535353535354,0.9524900607894322,39.39,2.2822641509433965,-2.2014130434782606,True
VWAP,1.5,198,113,85,0,0.5707070707070707,0.6398127838348235,24.28,2.1479646017699117,-2.569882352941176,True
VWAP,2.0,242,132,110,0,0.5454545454545454,2.4384608702332935,134.55,2.9106818181818186,-2.2696363636363643,True
